"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinSocket_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
2;"U2";"LQFP-48_7x7mm_P0.5mm";1;"W5500";;;
3;"C13,C14,C12,C9";"C_0402_1005Metric";4;"10n";;;
4;"R14";"R_0402_1005Metric";1;"12.4k";;;
5;"R13,R12";"R_0402_1005Metric";2;"330R";;;
6;"R11";"R_0402_1005Metric";1;"1M";;;
7;"R1";"R_0603_1608Metric";1;"200R";;;
8;"L1";"L_0603_1608Metric";1;"1K2 100MHz 140mOhm";;;
9;"D1";"LED_0805_2012Metric";1;"LED";;;
10;"C15,C6,C3";"C_0402_1005Metric";3;"10u";;;
11;"C11";"C_1206_3216Metric";1;"1n/10kV";;;
12;"C5,C4";"C_0402_1005Metric";2;"100n";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"X322525MOB4SI";;;
14;"R10";"R_0402_1005Metric";1;"49R";;;
15;"R9,R4,R3";"R_0402_1005Metric";3;"50R";;;
16;"R8,R7,R6,R5";"R_0402_1005Metric";4;"3.3R";;;
17;"R2";"R_0402_1005Metric";1;"10R";;;
18;"J1";"RJ45_Bel_SI-60062-F";1;"HR911105A";;;
19;"C10";"C_0402_1005Metric";1;"22n";;;
20;"C8,C7";"C_0402_1005Metric";2;"6.8n";;;
