"Id","Designator","Footprint","Quantity","Comment","Supplier and ref",
1,"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm",1,"X322525MOB4SI",,,
2,"C13,C14,C12,C9","C_0402_1005Metric",4,"10n",,,
3,"C10","C_0402_1005Metric",1,"22n",,,
4,"R12,R13","R_0402_1005Metric",2,"330R",,,
5,"R11","R_0402_1005Metric",1,"1M",,,
6,"C8,C7","C_0402_1005Metric",2,"6.8n",,,
7,"L1","L_0603_1608Metric",1,"1K2 100MHz 140mOhm",,,
8,"R10,R4,R9,R3","R_0402_1005Metric",4,"49.9",,,
9,"C11","C_1206_3216Metric",1,"1n/10kV",,,
10,"U2","LQFP-48_7x7mm_P0.5mm",1,"W5500",,,
11,"R7,R6,R8,R5","R_0402_1005Metric",4,"0",,,
12,"C15,C3,C6","C_0402_1005Metric",3,"10u",,,
15,"D1","LED_0805_2012Metric",1,"LED",,,
16,"C4,C5","C_0402_1005Metric",2,"100n",,,
17,"R14","R_0402_1005Metric",1,"12.4k",,,
18,"R1","R_0603_1608Metric",1,"200R",,,
19,"R2","R_0402_1005Metric",1,"10R",,,
